Year,DOI,Title,Number of Authors,Author Position,Author Name,OpenAlex Author ID,Affiliation Name,Affiliation Type
2007,10.1109/TVCG.2007.70594,Show Me: Automatic Presentation for Visual Analysis,3.0,1.0,Jock Mackinlay,https://openalex.org/A2044770413,"Tableau Software, USA",company
2007,10.1109/TVCG.2007.70594,Show Me: Automatic Presentation for Visual Analysis,3.0,2.0,Pat Hanrahan,https://openalex.org/A2225733586,"Stanford University and Tableau Software, USA",education
2007,10.1109/TVCG.2007.70594,Show Me: Automatic Presentation for Visual Analysis,3.0,3.0,Chris Stolte,https://openalex.org/A2778462909,"Tableau Software, USA",company
1997,10.1109/INFVIS.1997.636718,H3: laying out large directed graphs in 3D hyperbolic space,1.0,1.0,T. Munzner,https://openalex.org/A544170546,"University of Stanford, Stanford, CA, USA",education
2000,10.1109/VISUAL.2000.885721,Anisotropic geometric diffusion in surface processing,3.0,1.0,U. Clarenz,https://openalex.org/A3147850152,"Institute for Applied Mathematics, University of Bonn, Bonn, Germany",education
2000,10.1109/VISUAL.2000.885721,Anisotropic geometric diffusion in surface processing,3.0,2.0,U. Diewald,https://openalex.org/A3150225586,"Institute for Applied Mathematics, University of Bonn, Germany",education
2000,10.1109/VISUAL.2000.885721,Anisotropic geometric diffusion in surface processing,3.0,3.0,M. Rumpf,https://openalex.org/A3146047120,"Institute for Applied Mathematics, University of Bonn, Germany",education
1997,10.1109/INFVIS.1997.636792,The structure of the information visualization design space,2.0,1.0,S.K. Card,https://openalex.org/A614907589,"Xerox-PARC, Palo Alto, CA, USA",facility
1997,10.1109/INFVIS.1997.636792,The structure of the information visualization design space,2.0,2.0,J. Mackinlay,https://openalex.org/A2044770413,"Xerox-PARC, Palo Alto, CA, USA",facility
1998,10.1109/VISUAL.1998.745314,Fast and memory efficient polygonal simplification,2.0,1.0,P. Lindstrom,https://openalex.org/A2278655031,"Georgia Institute of Technology, USA",education
1998,10.1109/VISUAL.1998.745314,Fast and memory efficient polygonal simplification,2.0,2.0,G. Turk,https://openalex.org/A2130761626,"Georgia Institute of Technology, USA",education
2009,10.1109/TVCG.2009.171,Participatory Visualization with Wordle,3.0,1.0,Fernanda B. Viegas,https://openalex.org/A2113308670,"IBM Research, USA",company
2009,10.1109/TVCG.2009.171,Participatory Visualization with Wordle,3.0,2.0,Martin Wattenberg,https://openalex.org/A2139539936,"IBM Research, USA",company
2009,10.1109/TVCG.2009.171,Participatory Visualization with Wordle,3.0,3.0,Jonathan Feinberg,https://openalex.org/A2117557628,"IBM Research, USA",company
2001,10.1109/INFVIS.2001.963273,Visualizing time-series on spirals,3.0,1.0,M. Weber,https://openalex.org/A3026903314,"Crcp Technische Universität Darmstadt, Germany",education
