Year,DOI,Title,Number of Authors,Author Position,Author Name,OpenAlex Author ID,Affiliation Name,Affiliation Country Code
1999,10.1109/VISUAL.1999.809910,A fast volume rendering algorithm for time-varying fields using a time-space partitioning (TSP) tree,3.0,2.0,L.-J. Chiang,https://openalex.org/A2125393285,nasa ames research center moffett field ca usa,US
1999,10.1109/VISUAL.1999.809910,A fast volume rendering algorithm for time-varying fields using a time-space partitioning (TSP) tree,3.0,3.0,K.-L. Ma,https://openalex.org/A2122423217,department of applied mechanics and engineering science university of california davis ca usa,US
2005,10.1109/VISUAL.2005.1532795,A contract based system for large data visualization,7.0,1.0,H. Childs,https://openalex.org/A2166896707,lawrence livermore national laboratory university of california davis usa,US
2005,10.1109/VISUAL.2005.1532795,A contract based system for large data visualization,7.0,2.0,E. Brugger,https://openalex.org/A2193951632,lawrence livemore national laboratory usa,US
2005,10.1109/VISUAL.2005.1532795,A contract based system for large data visualization,7.0,3.0,K. Bonnell,https://openalex.org/A2000028456,lawrence livemore national laboratory usa,US
2005,10.1109/VISUAL.2005.1532795,A contract based system for large data visualization,7.0,4.0,J. Meredith,https://openalex.org/A2100495616,lawrence livemore national laboratory usa,US
2005,10.1109/VISUAL.2005.1532795,A contract based system for large data visualization,7.0,5.0,M. Miller,https://openalex.org/A2124650163,lawrence livemore national laboratory usa,US
2005,10.1109/VISUAL.2005.1532795,A contract based system for large data visualization,7.0,6.0,B. Whitlock,https://openalex.org/A2116262485,lawrence livemore national laboratory usa,US
2005,10.1109/VISUAL.2005.1532795,A contract based system for large data visualization,7.0,7.0,N. Max,https://openalex.org/A2189376613,university of california davis usa,US
2007,10.1109/TVCG.2007.70521,VisLink: Revealing Relationships Amongst Visualizations,2.0,1.0,Christopher Collins,https://openalex.org/A2140209713,computer science department univeristy of toronto canada,CA
2007,10.1109/TVCG.2007.70521,VisLink: Revealing Relationships Amongst Visualizations,2.0,2.0,Sheelagh Carpendale,https://openalex.org/A2012282979,computer science department university of calgary canada,CA
2009,10.1109/VAST.2009.5332584,Interactive visual clustering of large collections of trajectories,6.0,1.0,Gennady Andrienko,https://openalex.org/A237265413,fraunhofer institute of intelligent analysis and information systems iais sankt augustin germany,DE
2009,10.1109/VAST.2009.5332584,Interactive visual clustering of large collections of trajectories,6.0,2.0,Natalia Andrienko,https://openalex.org/A1983982202,fraunhofer institute of intelligent analysis and information systems iais sankt augustin germany,DE
2009,10.1109/VAST.2009.5332584,Interactive visual clustering of large collections of trajectories,6.0,3.0,Salvatore Rinzivillo,https://openalex.org/A1263076414,kdd lab isti cnr pisa italy,IT
2009,10.1109/VAST.2009.5332584,Interactive visual clustering of large collections of trajectories,6.0,4.0,Mirco Nanni,https://openalex.org/A2110486381,kdd lab isti cnr pisa italy,IT
2009,10.1109/VAST.2009.5332584,Interactive visual clustering of large collections of trajectories,6.0,5.0,Dino Pedreschi,https://openalex.org/A7769909,university of pisa pisa italy,IT
2009,10.1109/VAST.2009.5332584,Interactive visual clustering of large collections of trajectories,6.0,6.0,Fosca Giannotti,https://openalex.org/A3216012384,kdd lab isti cnr pisa italy,IT
1996,10.1109/INFVIS.1996.559210,Visage: a user interface environment for exploring information,8.0,1.0,S.F. Roth,https://openalex.org/A2143187653,school of computer science carnegie mellon university pittsburgh pa usa,US
